DATE,TMIN,TMAX,ELECTRIC_PROD,BEER_PROD
1985-01-01,38.193548387096776,50.516129032258064,72.5052,93.2
1985-02-01,37.82142857142857,50.535714285714285,70.672,96.0
1985-03-01,41.61290322580645,55.96774193548387,62.4502,95.2
1985-04-01,42.06666666666667,57.06666666666667,57.4714,77.1
1985-05-01,46.87096774193548,62.516129032258064,55.3151,70.9
1985-06-01,50.0,65.0,58.0904,64.8
1985-07-01,54.25806451612903,72.29032258064517,62.6202,70.1
1985-08-01,57.03225806451613,79.09677419354838,63.2485,77.3
1985-09-01,51.56666666666667,70.46666666666667,60.5846,79.5
1985-10-01,44.774193548387096,57.03225806451613,56.3154,100.6
1985-11-01,41.36666666666667,52.86666666666667,58.0005,100.7
1985-12-01,37.29032258064516,46.03225806451613,68.7145,107.1
1986-01-01,35.38709677419355,43.193548387096776,73.3057,95.9
1986-02-01,36.67857142857143,47.464285714285715,67.9869,82.8
1986-03-01,36.935483870967744,51.16129032258065,62.2221,83.3
1986-04-01,38.833333333333336,55.93333333333333,57.0329,80.0
1986-05-01,45.61290322580645,63.67741935483871,55.8137,80.4
1986-06-01,53.0,73.23333333333333,59.9005,67.5
1986-07-01,53.806451612903224,71.70967741935483,65.7655,75.7
1986-08-01,55.67741935483871,74.45161290322581,64.4816,71.1
1986-09-01,52.333333333333336,68.76666666666667,61.0005,89.3
1986-10-01,45.83870967741935,59.58064516129032,57.5322,101.1
1986-11-01,37.233333333333334,49.13333333333333,59.3417,105.2
1986-12-01,35.87096774193548,45.58064516129032,68.1354,114.1
1987-01-01,39.87096774193548,49.96774193548387,73.8152,96.3
1987-02-01,41.17857142857143,52.642857142857146,70.062,84.4
1987-03-01,42.87096774193548,55.774193548387096,65.61,91.2
1987-04-01,41.833333333333336,59.53333333333333,60.1586,81.9
1987-05-01,49.0,66.3225806451613,58.8734,80.5
1987-06-01,52.3,67.46666666666667,63.8918,70.4
1987-07-01,55.225806451612904,71.25806451612904,68.8694,74.8
1987-08-01,57.193548387096776,74.03225806451613,70.0669,75.9
1987-09-01,50.4,66.1,64.1151,86.3
1987-10-01,45.193548387096776,58.064516129032256,60.3789,98.7
1987-11-01,43.0,52.46666666666667,62.4643,100.9
1987-12-01,31.516129032258064,40.70967741935484,70.5777,113.8
1988-01-01,38.54838709677419,47.774193548387096,79.8703,89.8
1988-02-01,38.89655172413793,50.724137931034484,76.1622,84.4
1988-03-01,41.74193548387097,55.225806451612904,70.2928,87.2
1988-04-01,41.0,56.4,63.2384,85.6
1988-05-01,45.193548387096776,60.54838709677419,61.4065,72.0
1988-06-01,50.6,66.96666666666667,67.1097,69.2
1988-07-01,54.67741935483871,75.29032258064517,72.9816,77.5
1988-08-01,55.03225806451613,74.80645161290323,75.7655,78.1
1988-09-01,51.36666666666667,68.33333333333333,67.5152,94.3
1988-10-01,42.903225806451616,56.41935483870968,63.2832,97.7
1988-11-01,39.833333333333336,49.43333333333333,65.1078,100.2
1988-12-01,32.096774193548384,41.45161290322581,73.8631,116.4
1989-01-01,31.258064516129032,42.935483870967744,77.9188,97.1
1989-02-01,33.392857142857146,44.57142857142857,76.6822,93.0
1989-03-01,35.903225806451616,50.645161290322584,73.3523,96.0
1989-04-01,41.46666666666667,56.8,65.1081,80.5
1989-05-01,45.83870967741935,63.83870967741935,63.6892,76.1
1989-06-01,50.833333333333336,69.23333333333333,68.4722,69.9
1989-07-01,56.225806451612904,80.93548387096774,74.0301,73.6
1989-08-01,54.483870967741936,75.7741935483871,75.0448,92.6
1989-09-01,50.266666666666666,65.93333333333334,69.3053,94.2
1989-10-01,45.03225806451613,57.67741935483871,65.8735,93.5
1989-11-01,30.933333333333334,40.63333333333333,69.0706,108.5
1989-12-01,30.93548387096774,41.354838709677416,84.1949,109.4
1990-01-01,38.935483870967744,50.774193548387096,84.3598,105.1
1990-02-01,36.357142857142854,49.17857142857143,77.1726,92.5
1990-03-01,41.70967741935484,56.74193548387097,73.1964,97.1
1990-04-01,41.06666666666667,55.1,67.2781,81.4
1990-05-01,47.67741935483871,63.74193548387097,65.8218,79.1
